#https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=15605
#note that this does not include reflectance of surface
#Wavelength (nm)	emittance
2036	0.0067965
2038	0.0066464
2040	0.006926
2042	0.0068851
2044	0.0069836
2046	0.0069891
2048	0.0070561
2050	0.0070608
2052	0.0069678
2054	0.0072032
2056	0.0072554
2058	0.0073029
2060	0.0072717
2062	0.0073134
2064	0.007366
2066	0.0075535
2068	0.007587
2070	0.0074606
2072	0.0073488
2074	0.0073178
2076	0.0074345
2078	0.0075798
2080	0.0076549
2082	0.0075628
2084	0.0074825
2086	0.0076698
2088	0.0077634
2090	0.00781
2092	0.0078175
2094	0.0077752
2096	0.007566
2098	0.0077516
2100	0.0078072
2102	0.0078915
2104	0.0080362
2106	0.0081136
2108	0.0080865
2110	0.0082049
2112	0.0082751
2114	0.0081132
2116	0.0079106
2118	0.0080077
2120	0.008257
2122	0.0081958
2124	0.008174
2126	0.0083376
2128	0.008422
2130	0.0085794
2132	0.0085945
2134	0.0085842
2136	0.0085648
2138	0.0084585
2140	0.0084601
2142	0.0086968
2144	0.0087964
2146	0.0086534
2148	0.0086377
2150	0.0087513
2152	0.0086767
2154	0.0088332
2156	0.0088881
2158	0.0089652
2160	0.0089211
2162	0.0087543
2164	0.009031
2166	0.0092182
2168	0.0091799
2170	0.0092215
2172	0.0093711
2174	0.0094017
2176	0.0092864
2178	0.009405
2180	0.0095659
2182	0.0096228
2184	0.0097164
2186	0.0098611
2188	0.0098927
2190	0.0099538
2192	0.010062
2194	0.0101839
2196	0.0102293
2198	0.0105058
2200	0.0107407
2202	0.0108386
2204	0.0109994
2206	0.011249
2208	0.0114671
2210	0.0116391
2212	0.011718
2214	0.0116694
2216	0.0115429
2218	0.0114262
2220	0.0115154
2222	0.0115907
2224	0.011453
2226	0.0114938
2228	0.0115712
2230	0.0114839
2232	0.0112716
2234	0.0114143
2236	0.011617
2238	0.0115925
2240	0.0115568
2242	0.011415
2244	0.0114644
2246	0.0115598
2248	0.0116792
2250	0.0117631
2252	0.0117675
2254	0.0117522
2256	0.0116913
2258	0.011655
2260	0.0117925
2262	0.0119934
2264	0.0118604
2266	0.0117057
2268	0.0116594
2270	0.011683
2272	0.01164
2274	0.0117125
2276	0.0117416
2278	0.0116824
2280	0.01166
2282	0.011571
2284	0.0114909
2286	0.011508
2288	0.0115938
2290	0.0117979
2292	0.0118785
2294	0.0118791
2296	0.0118312
2298	0.0117215
2300	0.0117083
2302	0.0117676
2304	0.0117761
2306	0.0117643
2308	0.0119306
2310	0.0118946
2312	0.0116893
2314	0.0117583
2316	0.0118584
2318	0.0118078
2320	0.011878
2322	0.0119191
2324	0.0120441
2326	0.0121745
2328	0.0122668
2330	0.0123413
2332	0.0123107
2334	0.0123275
2336	0.0125001
2338	0.0125012
2340	0.0124044
2342	0.0125792
2344	0.0126817
2346	0.0127153
2348	0.0126765
2350	0.012666
2352	0.0127774
2354	0.0129043
2356	0.0130349
2358	0.0129807
2360	0.0129954
2362	0.0131077
2364	0.01307
2366	0.0130272
2368	0.0131033
2370	0.0131984
2372	0.013257
2374	0.0132709
2376	0.0134016
2378	0.0135651
2380	0.0134539
2382	0.0134304
2384	0.0135483
2386	0.0137027
2388	0.013786
2390	0.0138092
2392	0.0135221
2394	0.0136048
2396	0.0137893
2398	0.014123
2400	0.0141479
2402	0.0141286
2404	0.0142338
2406	0.0144203
2408	0.0142294
2410	0.0142817
2412	0.0144001
2414	0.0144137
2416	0.0145381
2418	0.0146905
2420	0.014747
2422	0.014686
2424	0.0147521
2426	0.0149163
2428	0.0152594
2430	0.0152234
2432	0.0149192
2434	0.0150082
2436	0.0151868
2438	0.0153573
2440	0.015576
2442	0.0155077
2444	0.0153362
2446	0.0154296
2448	0.0155737
2450	0.0157269
2452	0.0157944
2454	0.0160497
2456	0.0160066
2458	0.0160047
2460	0.0159841
2462	0.0157972
2464	0.0160931
2466	0.0161737
2468	0.0161132
2470	0.015981
2472	0.0163655
2474	0.0165735
2476	0.016392
2478	0.0165292
2480	0.0167293
2482	0.0166198
2484	0.0167879
2486	0.016928
2488	0.0167977
2490	0.0167561
2492	0.0167071
2494	0.0171321
2496	0.0172036
2498	0.0172121
2500	0.0171215
2502	0.0171439
2504	0.0172898
2506	0.0171934
