#Wavelength[nm]	AOI 10 deg
1404	99.51981
1403	99.50312
1402	99.48698
1401	99.47231
1400	99.45982
1399	99.44968
1398	99.44162
1397	99.43501
1396	99.42901
1395	99.42276
1394	99.4155
1393	99.40685
1392	99.39694
1391	99.38634
1390	99.37628
1389	99.36811
1388	99.36349
1387	99.36386
1386	99.3704
1385	99.38363
1384	99.40341
1383	99.42873
1382	99.45782
1381	99.48837
1380	99.5176
1379	99.5426
1378	99.56084
1377	99.57012
1376	99.56917
1375	99.55742
1374	99.53529
1373	99.50391
1372	99.46505
1371	99.42088
1370	99.37355
1369	99.32518
1368	99.27758
1367	99.23217
1366	99.18998
1365	99.15167
1364	99.11762
1363	99.08829
1362	99.06408
1361	99.04571
1360	99.03399
1359	99.03006
1358	99.03487
1357	99.04945
1356	99.07416
1355	99.10898
1354	99.15295
1353	99.20462
1352	99.26139
1351	99.32024
1350	99.37781
1349	99.4307
1348	99.47594
1347	99.51127
1346	99.53531
1345	99.54792
1344	99.54996
1343	99.54329
1342	99.53014
1341	99.5131
1340	99.49463
1339	99.47642
1338	99.45969
1337	99.44449
1336	99.43035
1335	99.41589
1334	99.39964
1333	99.38
1332	99.35589
1331	99.32686
1330	99.2932
1329	99.25755
1328	99.22021
1327	99.18326
1326	99.14877
1325	99.11842
1324	99.09359
1323	99.07468
1322	99.06154
1321	99.05338
1320	99.04904
1319	99.04651
1318	99.04558
1317	99.04582
1316	99.04736
1315	99.05119
1314	99.05867
1313	99.07142
1312	99.09093
1311	99.11819
1310	99.15333
1309	99.19563
1308	99.24315
1307	99.29339
1306	99.34322
1305	99.38963
1304	99.42998
1303	99.46258
1302	99.4868
1301	99.5034
1300	99.5141
1299	99.52138
1298	99.52795
1297	99.53613
1296	99.54754
1295	99.56261
1294	99.58066
1293	99.5998
1292	99.61756
1291	99.63119
1290	99.63846
1289	99.63799
1288	99.62971
1287	99.61494
1286	99.59621
1285	99.57677
1284	99.5601
1283	99.54918
1282	99.54593
1281	99.55088
1280	99.56284
1279	99.5793
1278	99.59664
1277	99.61108
1276	99.619
1275	99.61796
1274	99.60683
1273	99.58609
1272	99.5577
1271	99.52446
1270	99.48974
1269	99.45645
1268	99.42691
1267	99.40221
1266	99.38234
1265	99.36636
1264	99.35288
1263	99.34053
1262	99.32868
1261	99.31761
1260	99.30875
1259	99.30434
1258	99.30694
1257	99.31886
1256	99.34131
1255	99.37401
1254	99.41492
1253	99.46027
1252	99.50514
1251	99.54419
1250	99.57264
1249	99.58688
1248	99.58552
1247	99.56921
1246	99.54083
1245	99.50454
1244	99.46506
1243	99.42683
1242	99.39307
1241	99.36541
1240	99.34373
1239	99.32658
1238	99.31195
1237	99.298
1236	99.2839
1235	99.27013
1234	99.25893
1233	99.25348
